"","category","links","scrape"
"1","电子书","e.jd.com/ebook.html","N"
"2","网络原创","e.jd.com/products/5272-10941.html","N"
"3","数字杂志","e.jd.com/products/5272-10953.html","N"
"4","多媒体图书","e.jd.com/products/5272-10962.html","N"
"5","音乐","mvd.jd.com/music.html","N"
"6","影视","mvd.jd.com/movie.html","N"
"7","教育音像","mvd.jd.com/education.html","N"
"8","少儿","list.jd.com/list.html?cat=1713,4855,4859","Y"
"9","商务投资","list.jd.com/list.html?cat=1713,4855,4858","Y"
"10","英语学习与考试","list.jd.com/list.html?cat=1713,4855,4864","Y"
"11","文学","list.jd.com/list.html?cat=1713,4855,4870","Y"
"12","传记","list.jd.com/list.html?cat=1713,4855,4857","Y"
"13","励志","list.jd.com/list.html?cat=1713,4855,4882","Y"
"14","小说","channel.jd.com/1713-3258.html","N"
"15","文学","channel.jd.com/1713-3259.html","N"
"16","青春文学","channel.jd.com/1713-3260.html","N"
"17","传记","channel.jd.com/1713-3261.html","N"
"18","艺术","channel.jd.com/1713-3262.html","N"
"19","少儿","book.jd.com/children.html","N"
"20","0-2岁","book.jd.com/children0-2.html","N"
"21","3-6岁","book.jd.com/children3-6.html","N"
"22","7-10岁","book.jd.com/children7-10.html","N"
"23","11-14岁","book.jd.com/children11-14.html","N"
"24","历史","channel.jd.com/1713-3273.html","N"
"25","哲学","list.jd.com/list.html?cat=1713,3274&jth=i","Y"
"26","国学","list.jd.com/list.html?cat=1713,3275&jth=i","Y"
"27","政治/军事","channel.jd.com/1713-3276.html","N"
"28","法律","channel.jd.com/1713-3277.html","N"
"29","人文社科","book.jd.com/library/socialscience.html","N"
"30","心理学","channel.jd.com/1713-3279.html","N"
"31","文化","list.jd.com/list.html?cat=1713,3280&jth=i","Y"
"32","社会科学","list.jd.com/list.html?cat=1713,3281&jth=i","Y"
"33","经济","channel.jd.com/1713-3264.html","N"
"34","金融与投资","channel.jd.com/1713-3265.html","N"
"35","管理","channel.jd.com/1713-3266.html","N"
"36","励志与成功","channel.jd.com/1713-3267.html","N"
"37","生活","book.jd.com/library/life.html","N"
"38","健身与保健","channel.jd.com/1713-3269.html","N"
"39","家庭与育儿","channel.jd.com/1713-3270.html","N"
"40","旅游","channel.jd.com/1713-3271.html","N"
"41","烹饪美食","list.jd.com/list.html?cat=1713,9278&jth=i","Y"
"42","工业技术","channel.jd.com/1713-3282.html","N"
"43","科普读物","book.jd.com/popscicence.html","N"
"44","建筑","channel.jd.com/1713-3284.html","N"
"45","医学","channel.jd.com/1713-3285.html","N"
"46","科学与自然","channel.jd.com/1713-3286.html","N"
"47","计算机与互联网","channel.jd.com/1713-3287.html","N"
"48","电子通信","list.jd.com/list.html?cat=1713,9351&jth=i","Y"
"49","中小学教辅","channel.jd.com/1713-3289.html","N"
"50","教育与考试","channel.jd.com/1713-3290.html","N"
"51","外语学习","channel.jd.com/1713-3291.html","N"
"52","大中专教材","channel.jd.com/1713-11047.html","N"
"53","字典词典","channel.jd.com/1713-3294.html","N"
"54","艺术/设计/收藏","list.jd.com/list.html?cat=1713,6929,6930","Y"
"55","经济管理","list.jd.com/list.html?cat=1713,3295,6954","Y"
"56","文化/学术","list.jd.com/list.html?cat=1713,3296,6957","Y"
"57","少儿","list.jd.com/list.html?cat=1713,6929,9381","Y"
"58","工具书","channel.jd.com/1713-3294.html","N"
"59","杂志/期刊","channel.jd.com/1713-4758.html","N"
"60","套装书","list.jd.com/list.html?cat=1713,3296&jth=i","Y"
"61","手机","list.jd.com/list.html?cat=9987,653,655","Y"
"62","对讲机","list.jd.com/list.html?cat=9987,653,659","Y"
"63","合约机","list.jd.com/list.html?cat=9987,6880,6881","Y"
"64","选号中心","list.jd.com/list.html?cat=9987,6880,12360","Y"
"65","装宽带","list.jd.com/list.html?cat=9987,6880,12428","Y"
"66","办套餐","list.jd.com/list.html?cat=9987,6880,1195","Y"
